index,timestamp,z_force
0,2026-05-15T14:23:29.537908+00:00,-22.50799999999981
1,2026-05-15T14:23:29.571241+00:00,-18.17466666666648
2,2026-05-15T14:23:29.604575+00:00,-17.50799999999981
3,2026-05-15T14:23:29.637908+00:00,-15.50799999999981
4,2026-05-15T14:23:29.671241+00:00,-13.50799999999981
5,2026-05-15T14:23:29.704575+00:00,-14.25799999999981
6,2026-05-15T14:23:29.737908+00:00,-15.50799999999981
7,2026-05-15T14:23:29.771241+00:00,-15.50799999999981
8,2026-05-15T14:23:29.804575+00:00,-13.50799999999981
9,2026-05-15T14:23:29.837908+00:00,-14.50799999999981
10,2026-05-15T14:23:29.871241+00:00,-12.174666666666477
11,2026-05-15T14:23:29.904575+00:00,-12.25799999999981
12,2026-05-15T14:23:29.937908+00:00,-11.50799999999981
13,2026-05-15T14:23:29.971241+00:00,-10.841333333333145
14,2026-05-15T14:23:30.004575+00:00,-11.50799999999981
15,2026-05-15T14:23:30.037908+00:00,-11.174666666666477
16,2026-05-15T14:23:30.071241+00:00,-8.841333333333145
17,2026-05-15T14:23:30.104575+00:00,-6.257999999999811
18,2026-05-15T14:23:30.137908+00:00,-10.841333333333145
19,2026-05-15T14:23:30.171241+00:00,-9.841333333333145
20,2026-05-15T14:23:30.204575+00:00,-7.757999999999811
21,2026-05-15T14:23:30.237908+00:00,-7.841333333333144
22,2026-05-15T14:23:30.271241+00:00,-8.50799999999981
23,2026-05-15T14:23:30.304575+00:00,-4.757999999999811
24,2026-05-15T14:23:30.337908+00:00,-8.50799999999981
25,2026-05-15T14:23:30.371241+00:00,-9.174666666666477
26,2026-05-15T14:23:30.404575+00:00,-6.007999999999811
27,2026-05-15T14:23:30.437908+00:00,-7.507999999999811
28,2026-05-15T14:23:30.471241+00:00,-6.507999999999811
29,2026-05-15T14:23:30.504575+00:00,-6.007999999999811
30,2026-05-15T14:23:30.537908+00:00,-1.5079999999998108
31,2026-05-15T14:23:30.571241+00:00,-6.507999999999811
32,2026-05-15T14:23:30.604575+00:00,-8.00799999999981
33,2026-05-15T14:23:30.637908+00:00,-4.841333333333144
34,2026-05-15T14:23:30.671241+00:00,-7.174666666666478
35,2026-05-15T14:23:30.704575+00:00,-4.007999999999811
36,2026-05-15T14:23:30.737908+00:00,-7.841333333333144
37,2026-05-15T14:23:30.771241+00:00,-8.50799999999981
38,2026-05-15T14:23:30.804575+00:00,-5.757999999999811
39,2026-05-15T14:23:30.837908+00:00,-2.507999999999811
40,2026-05-15T14:23:30.871241+00:00,-4.841333333333144
41,2026-05-15T14:23:30.904574+00:00,-7.507999999999811
42,2026-05-15T14:23:30.937908+00:00,-4.841333333333144
43,2026-05-15T14:23:30.971241+00:00,-1.5079999999998108
44,2026-05-15T14:23:31.004575+00:00,-2.757999999999811
45,2026-05-15T14:23:31.037908+00:00,-6.174666666666478
46,2026-05-15T14:23:31.071241+00:00,-5.174666666666478
47,2026-05-15T14:23:31.104574+00:00,-4.007999999999811
48,2026-05-15T14:23:31.137908+00:00,-2.8413333333331443
49,2026-05-15T14:23:31.171241+00:00,-6.841333333333144
50,2026-05-15T14:23:31.204574+00:00,-4.507999999999811
51,2026-05-15T14:23:31.237908+00:00,-4.841333333333144
52,2026-05-15T14:23:31.271241+00:00,-6.174666666666478
53,2026-05-15T14:23:31.304574+00:00,-5.757999999999811
54,2026-05-15T14:23:31.337908+00:00,-6.174666666666478
55,2026-05-15T14:23:31.371241+00:00,-6.841333333333144
56,2026-05-15T14:23:31.404574+00:00,-6.007999999999811
57,2026-05-15T14:23:31.437908+00:00,-4.507999999999811
58,2026-05-15T14:23:31.471241+00:00,-5.507999999999811
59,2026-05-15T14:23:31.504575+00:00,-6.757999999999811
60,2026-05-15T14:23:31.537908+00:00,-10.174666666666477
61,2026-05-15T14:23:31.571241+00:00,-7.841333333333144
