x,y,z,rx,ry,rz,timestamp
-0.004078433897889904,-0.02350304643037978,-0.008575789597201088,0.5829122685254824,0.07054929981984162,-0.055018021024733466,1778853188.7653503
-0.004108727370026384,-0.024608759801588363,-0.008877049487033713,0.5840746139156763,0.06977963646114027,-0.05439413145007299,1778853188.7986834
-0.004199767603672802,-0.02602609632516668,-0.009314378594935231,0.5857836088582526,0.07236346469017832,-0.05163182373063023,1778853188.8320167
-0.0037407227612008343,-0.027135242745888934,-0.009588425229539366,0.5872596905831681,0.07014327167217757,-0.05297881764428083,1778853188.8653502
-0.0037553086120386005,-0.02817086825740688,-0.009626542540946406,0.5913535954579547,0.07175949890727354,-0.050093340668773835,1778853188.8986835
-0.0035688534149124463,-0.029156940394116253,-0.00998680349911539,0.5927196577220902,0.07125500246717506,-0.05045917323147995,1778853188.9320168
-0.003497458684678029,-0.03064629415326915,-0.010330492358778342,0.5935799185814598,0.07260450196402667,-0.04806129713449058,1778853188.9653502
-0.0030360208535269114,-0.03171059463312744,-0.010858689111150961,0.5942986831030495,0.07046526100311098,-0.04830158911356215,1778853188.9986835
-0.0028529056874419083,-0.03313128092067959,-0.011281115862821598,0.5949552298943871,0.06978153412616761,-0.04676525907986674,1778853189.0320168
-0.0025606512364172904,-0.03484255884737233,-0.01196466613801282,0.5952272837617912,0.06871842395567461,-0.04720314341177203,1778853189.0653503
-0.0029778108502826516,-0.03614606098699768,-0.012220841150567041,0.5966826971120913,0.07258757438355293,-0.044399051142105926,1778853189.0986836
-0.002883043440331515,-0.03747851355440552,-0.012644736212887604,0.5974751425691337,0.07241090286563823,-0.0449599805183743,1778853189.1320167
-0.0028751812614480755,-0.038900463575770386,-0.012871067302192915,0.5984269166737084,0.07326064949756762,-0.04271054201518919,1778853189.1653502
-0.002559034179190574,-0.040011356148347214,-0.013344924987388337,0.598939344204077,0.07181369513463755,-0.04416089421052171,1778853189.1986835
-0.0025438327654533337,-0.041179473332699154,-0.0136450900239323,0.5997331662198073,0.07263976811197186,-0.042269595843426905,1778853189.2320168
-0.002541222461849209,-0.04273668910209278,-0.014231971744987124,0.6004470364482621,0.07537118094582157,-0.04108649576852607,1778853189.2653503
-0.00284226671008567,-0.04382767587640987,-0.01442463686555065,0.6017022978579839,0.07848149331283702,-0.038884039292601216,1778853189.2986834
-0.0027832735301097544,-0.04525280531279913,-0.01473388540836092,0.6023669130403276,0.07713123388048587,-0.0391682086353952,1778853189.3320167
-0.002685376421161658,-0.04680044203757569,-0.01528541859435227,0.603934224382243,0.07749562474468198,-0.03817511612228832,1778853189.3653502
-0.00231089757120649,-0.048126373847924536,-0.01574722864025885,0.6049020555977298,0.07898319714515713,-0.035653270118941746,1778853189.3986835
-0.0021533754108042772,-0.04958494834842764,-0.01609000706128153,0.6068853128455802,0.082318280181539,-0.0317807889421697,1778853189.4320168
-0.0019363321047184865,-0.0511263967947888,-0.016653593995840387,0.609179022053864,0.08513726989415617,-0.027254528366129478,1778853189.4653502
-0.0021153519305199997,-0.05235787048828364,-0.01674652998685467,0.6112800509701084,0.08893174730210711,-0.02362040838355197,1778853189.4986835
-0.002214668899990059,-0.05347917269405047,-0.016947843177523944,0.6131355477545191,0.09119108991198814,-0.02004429091034262,1778853189.5320168
-0.0018642480734963169,-0.05480943573924871,-0.017529111240881086,0.6132202635449961,0.09238213953045224,-0.01685889837775731,1778853189.5653503
-0.0018472483412261427,-0.05566579707545008,-0.017621248006459887,0.6147012888321699,0.09712669927817943,-0.010808527858178065,1778853189.5986836
-0.0016527555642734328,-0.056332612616862295,-0.017830906008875134,0.6141393950810851,0.09886000926753162,-0.0073803968577593896,1778853189.6320167
-0.002620809577394185,-0.05804675323212377,-0.017540901700185917,0.6139304922832626,0.11385017636124141,0.006807447837380141,1778853189.6653502
-0.0009967402133249353,-0.05859285850348508,-0.018482800031379094,0.6120602152582512,0.11131493703125864,0.008022050468005743,1778853189.6986835
-0.0007837544315316538,-0.05922375357981252,-0.018633610597144617,0.611625965673451,0.11548166825619864,0.013273045393674125,1778853189.7320168
-0.0008555271153402345,-0.05961618600811509,-0.018755429201243203,0.6134881678455115,0.12186675478804616,0.01756428653709094,1778853189.7653503
-0.0016890821750472238,-0.060815302518757094,-0.019258521178066368,0.6061943662480641,0.13030743743568202,0.02200596250431442,1778853189.7986834
-0.0027591946504934477,-0.06196721339208558,-0.01902057149539903,0.6033128067826272,0.1380230322552362,0.026483471658336206,1778853189.8320167
-0.0028945823936390776,-0.06380561437911204,-0.018749867071003727,0.5944994523301709,0.13840804922165437,0.025847902806484177,1778853189.8653502
-0.002889372038848054,-0.06456646535827566,-0.0189084712700559,0.5952476580970678,0.13759733456177173,0.029007264944054666,1778853189.8986835
-0.003371980955891994,-0.06592627701626519,-0.018623682025183417,0.5914268700823376,0.14042971269925553,0.034693859357255455,1778853189.9320168
-0.003821893956645936,-0.06695890895625065,-0.018437245741163132,0.5927766466545651,0.14522110352997997,0.042243447904445515,1778853189.9653502
-0.003597224665586817,-0.06757079983004587,-0.018721014988272958,0.595925811912086,0.14436873997649133,0.04788044071759687,1778853189.9986835
-0.00312119951628074,-0.06832352416645127,-0.01905857826504261,0.598599986046361,0.1392009456270664,0.050507000736825416,1778853190.0320168
-0.0032858912618381115,-0.06897404960542859,-0.019049694740745193,0.6067540487412132,0.14090862829154582,0.05948775575661767,1778853190.0653503
-0.0034931737876897455,-0.06989662427651755,-0.0189351518233252,0.6112595896589667,0.1455798657092552,0.06919602239699986,1778853190.0986836
